,"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,
1,http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,
2,Compendium of Tourism Statistics - Basic data and indicators,,,,,,
3,Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,
131,478,Mauritania,..,..,..,..,..
132,480,Mauritius,1065,1174,1307,1371,1431
133,484,Mexico,81042,87129,94853,99349,96497
134,583,"Micronesia, Federated States Of",..,..,..,..,..
135,498,"Moldova, Republic Of",..,..,..,..,..
136,492,Monaco,..,..,..,..,..
137,496,Mongolia,506,467,471,543,598
138,499,Montenegro,..,..,..,..,..
139,500,Montserrat,10.7,13.3,13.6,17.5,14.6
140,504,Morocco,10507,10542,10677,11540,12489
141,508,Mozambique,1751,1634,1715,1514,2870
142,104,Myanmar,..,..,..,..,..
143,516,Namibia,1429,1488,1551,1581,..
144,520,Nauru,..,..,..,..,..
145,524,Nepal,..,..,..,..,..
146,528,Netherlands,..,..,..,..,..
147,540,New Caledonia,529,558,625,626,576
148,554,New Zealand,2854,3129,3494,3723,3858
149,558,Nicaragua,1390,1456,1596,1958,1412
150,562,Niger,..,..,..,..,..
151,566,Nigeria,4803,6017,5265,..,..
152,570,Niue,..,..,..,11.600000000000001,..
153,580,Northern Mariana Islands,460,479,531,660,518
154,578,Norway,..,..,..,..,..
155,512,Oman,2225,2634,3207,3178,3242
156,586,Pakistan,..,..,..,..,..
157,585,Palau,..,..,..,..,..
158,591,Panama,2305,2553,2379,2517,2487
159,598,Papua New Guinea,191,199,198,182,195
160,600,Paraguay,3455,4102,4318,4744,4183
161,604,Peru,4062,4381,4718,4992,5384
162,608,Philippines,..,..,..,..,..
163,616,Poland,73750,77743,80476,83804,85946
164,620,Portugal,..,..,..,..,..
165,630,Puerto Rico,4456,5051,5077,4986,4306
166,634,Qatar,..,..,..,..,..
167,638,Reunion,..,..,..,551,574
168,642,Romania,8442,9331,10223,10926,11720
169,643,Russian Federation,32421,33729,24571,24390,24551
170,646,Rwanda,1220,1298,1307,..,..
171,461,Saba,..,..,..,..,..
172,659,Saint Kitts And Nevis,818,1036,1055,1194,1278
173,662,Saint Lucia,987,1031,948,1064,1165
174,670,Saint Vincent And The Grenadines,205,207,227,303,356
175,882,Samoa,132,139,146,158,172
176,674,San Marino,2004,1888,2000,1937,1874
177,678,Sao Tome And Principe,..,..,..,..,..
178,682,Saudi Arabia,23010,21834,20887,18607,17570
179,686,Senegal,976,1014,1219,1376,..
180,688,Serbia,..,..,..,..,..
181,690,Seychelles,239,296,333,382,405
